timestamp,score,direction,decision,reason
2025-06-17 04:00:00+00:00,0.336,long,TRADE,Cerca de liquidity pool y reciente sweep refuerzan el setup.
2025-06-21 16:00:00+00:00,-0.361,short,TRADE,Cerca de liquidity pool y reciente CHoCH refuerzan el setup.
2025-06-21 20:00:00+00:00,-0.372,short,TRADE,Cerca de liquidity pool y reciente CHoCH refuerzan el setup.
2025-06-22 12:00:00+00:00,-0.404,short,TRADE,Reciente sweep y BOS en dirección del trade.
2025-06-22 16:00:00+00:00,-0.404,short,TRADE,Reciente sweep y BOS en dirección del trade.
2025-06-23 04:00:00+00:00,-0.324,short,TRADE,Reciente sweep y BOS en dirección del trade.
2025-06-23 08:00:00+00:00,-0.325,short,TRADE,Reciente sweep y BOS en dirección del trade.
2025-06-24 00:00:00+00:00,0.319,long,TRADE,Reciente sweep y BOS en dirección del trade refuerzan la decisión.
2025-06-24 08:00:00+00:00,0.319,long,TRADE,Reciente sweep y BOS en dirección del trade.
2025-06-26 08:00:00+00:00,0.41,long,TRADE,Reciente sweep y BOS en dirección del trade.
2025-06-26 12:00:00+00:00,0.41,long,TRADE,Reciente sweep y BOS en dirección del trade.
2025-06-29 08:00:00+00:00,0.314,long,TRADE,Cerca de liquidity pool y con CHoCH reciente en dirección del trade.
2025-06-29 20:00:00+00:00,0.439,long,TRADE,Sweep reciente y CHoCH en dirección del trade refuerzan la decisión.
2025-06-30 00:00:00+00:00,0.35,long,TRADE,Cerca de liquidity pool y reciente CHoCH refuerzan el setup.
2025-06-30 08:00:00+00:00,0.338,long,TRADE,Cerca de liquidity pool y reciente CHoCH refuerzan el setup.
2025-06-30 16:00:00+00:00,0.436,long,TRADE,Sweep y CHoCH reciente en dirección del trade refuerzan el setup.
2025-07-02 16:00:00+00:00,0.486,long,TRADE,Sweep reciente y confluence fuerte respaldan el setup.
2025-07-02 20:00:00+00:00,0.32,long,TRADE,Cerca de liquidity pool y reciente CHoCH refuerzan el setup.
2025-07-03 04:00:00+00:00,0.35,long,TRADE,Cerca de liquidity pool y reciente CHoCH refuerzan el setup.
2025-07-03 16:00:00+00:00,0.35,long,TRADE,Cerca de liquidity pool y reciente CHoCH refuerzan el setup.
2025-07-06 12:00:00+00:00,0.328,long,TRADE,Cerca de liquidity pool y reciente CHoCH refuerzan el setup.
2025-07-06 20:00:00+00:00,0.456,long,TRADE,Hay un sweep reciente y confluence alta.
2025-07-09 16:00:00+00:00,0.448,long,TRADE,Reciente sweep y CHoCH en dirección del trade.
2025-07-09 20:00:00+00:00,0.448,long,TRADE,Reciente sweep y CHoCH en dirección del trade con buena confluencia.
2025-07-10 00:00:00+00:00,0.437,long,TRADE,Sweep y CHoCH reciente apoyan la dirección del trade.
2025-07-10 04:00:00+00:00,0.437,long,TRADE,Sweep y CHoCH reciente en dirección del trade.
2025-07-10 16:00:00+00:00,0.448,long,TRADE,Hay un sweep reciente y confluence alta.
2025-07-10 20:00:00+00:00,0.448,long,TRADE,Setup tiene sweep reciente y confluence adecuada.
2025-07-11 04:00:00+00:00,0.393,long,TRADE,Reciente sweep y BOS en dirección del trade.
2025-07-13 16:00:00+00:00,0.446,long,TRADE,Setup con confluencia fuerte y reciente CHoCH en dirección del trade.
2025-07-13 20:00:00+00:00,0.421,long,TRADE,Sweep y CHoCH reciente en dirección del trade.
2025-07-14 00:00:00+00:00,0.413,long,TRADE,Reciente sweep y CHoCH en dirección del trade.
2025-07-14 04:00:00+00:00,0.448,long,TRADE,Sweep y CHoCH reciente en dirección del trade.
2025-07-14 08:00:00+00:00,0.437,long,TRADE,Sweep y CHoCH reciente en dirección del trade.
2025-07-14 12:00:00+00:00,0.367,long,TRADE,Cerca de liquidity pool y reciente CHoCH refuerzan el setup.
2025-07-14 16:00:00+00:00,0.331,long,TRADE,Cerca de liquidity pool y reciente sweep refuerzan el setup.
