date,close,returns,label,rsi_14,macd,bb_upper,bb_lower,sma_7,sma_30,sentiment_avg,fear_greed,buy_hold,model,random,pred,in_market
2024-10-01,60805.78,-0.040636,0,45.81,1218.738802,67306.54974308,57534.66025692,64241.33285714,60473.08766667,0.0,50.0,9990.0,10000.0,10000.0,0,0
2024-10-02,60649.28,-0.002577,1,45.31,917.797337,67084.60972728,58008.29627272,63883.8,60523.65933333,0.0,42.0,9964.288052879183,10000.0,9964.288052879183,0,0
2024-10-03,60752.71,0.001704,1,45.73,679.808585,67074.51272766,58043.86427234,63252.18857143,60632.492,0.0,37.0,9981.280939081778,10000.0,9954.323764826304,0,0
2024-10-04,62086.0,0.021709,0,50.91,591.96237,67023.06044418,58304.61355582,62725.91,60769.662,0.0,41.0,10200.33194212787,10000.0,9954.323764826304,0,0
2024-10-05,62058.0,-0.000451,1,50.81,514.15736,66855.36889104,58764.90510896,62183.05285714,60965.59533333,0.0,49.0,10195.731721556735,10000.0,9954.323764826304,0,0
2024-10-06,62819.91,0.012203,0,53.73,508.118822,66459.98462687,59620.88137313,61785.61,61260.82666667,0.0,50.0,10320.908652105114,10000.0,10066.460299948956,0,0
2024-10-07,62224.0,-0.009531,0,51.17,450.060265,66334.41991221,59937.44708779,61627.95428571,61529.598,0.0,50.0,10223.004457799902,10000.0,10056.393839649007,0,0
2024-10-08,62160.49,-0.001021,0,50.89,394.377575,66323.03409969,59988.88290031,61821.48428571,61772.616,0.0,49.0,10212.570171783012,10000.0,10056.393839649007,0,0
2024-10-09,60636.02,-0.02483,0,44.61,224.647062,66402.18363387,59678.53636613,61819.59,61892.41666667,0.0,49.0,9962.109519851569,9744.9978241806,10056.393839649007,1,1
2024-10-10,60326.39,-0.005119,1,43.44,64.407405,66468.75461513,59324.49938487,61758.68714286,61982.09666667,0.0,39.0,9911.239295014391,9735.25282635642,9995.03712195324,0,0
2024-10-11,62540.0,0.036037,1,52.95,114.713801,66425.05945041,59287.29854959,61823.54428571,62155.49666667,0.0,32.0,10274.921232817014,9735.25282635642,9985.042084831288,0,0
2024-10-12,63206.22,0.010596,0,55.39,205.966119,66394.42163278,59280.68236722,61987.57571429,62324.62666667,0.0,49.0,10384.376909563534,9735.25282635642,9985.042084831288,0,0
2024-10-13,62870.02,-0.005333,1,53.87,248.293535,66363.14809659,59264.95890341,61994.73428571,62403.694,0.0,50.0,10329.14140399153,9735.25282635642,9985.042084831288,0,0
2024-10-14,66083.99,0.049857,1,64.0,535.011556,66695.94896939,59114.28703061,62546.16142857,62606.726,0.0,48.0,10857.176079313516,9735.25282635642,9985.042084831288,0,0
2024-10-15,67074.14,0.014872,1,66.45,832.537509,67326.71185085,58875.73714915,63248.11142857,62871.464,0.0,65.0,11019.851379260328,9735.25282635642,10124.51537192536,0,0
2024-10-16,67620.01,0.008105,0,67.75,1099.699466,67826.36091464,58620.69008536,64245.82428571,63184.998,0.0,73.0,11109.534322230553,9735.25282635642,10114.390856553435,0,0
2024-10-17,67421.78,-0.002936,1,66.73,1280.668983,68154.0917655,58458.1422345,65259.45142857,63421.92433333,0.0,71.0,11076.966403522825,9735.25282635642,10074.655489246345,0,0
2024-10-18,68428.0,0.014814,0,69.24,1488.12796,68686.78277729,58182.45122271,66100.59428571,63644.19133333,0.0,73.0,11242.281901490289,9735.25282635642,10225.012241120732,0,0
2024-10-19,68378.0,-0.000731,1,68.97,1629.719718,69200.12073244,57946.71226756,66839.42,63825.19166667,0.0,72.0,11234.067221898973,9735.25282635642,10217.54087542166,0,0
2024-10-20,69031.99,0.009519,0,70.63,1774.25127,69988.67706801,57728.59593199,67719.70142857,64019.55633333,0.0,73.0,11341.513588017457,9735.25282635642,10207.32333454624,0,0
2024-10-21,67377.5,-0.024259,1,61.63,1735.286744,70332.75112392,58041.69387608,67904.48857143,64153.841,0.0,72.0,11069.691483276754,9735.25282635642,9952.72168809585,0,0
2024-10-22,67426.0,0.00072,0,61.78,1688.852581,70597.07984273,58455.03715727,67954.75428571,64282.08233333,0.0,70.0,11077.65972248033,9735.25282635642,9942.768966407753,0,0
2024-10-23,66668.65,-0.011296,1,57.88,1572.81097,70691.9366043,58951.7743957,67818.84571429,64393.03766667,0.0,71.0,10953.231970710678,9735.25282635642,9821.25757523875,0,0
2024-10-24,68198.28,0.022685,0,62.97,1585.993173,71034.14968897,59220.78931103,67929.77428571,64524.22366667,0.0,69.0,11204.540377575946,9735.25282635642,10046.59422484561,0,0
2024-10-25,66698.33,-0.022239,1,55.85,1458.592982,71121.2741569,59597.6978431,67682.67857143,64642.43433333,0.0,72.0,10958.108204516082,9735.25282635642,9825.629869035505,0,0
2024-10-26,67092.76,0.005896,1,57.22,1373.620377,71254.74045208,59891.51654792,67499.07285714,64706.39333333,0.0,49.0,11022.91052594013,9735.25282635642,9883.735119785315,0,0
2024-10-27,68021.7,0.013751,1,60.34,1365.496081,71415.2831676,60310.7438324,67354.74571429,64781.45166667,0.0,74.0,11175.529415131257,9735.25282635642,10020.581433786609,0,0
2024-10-28,69962.21,0.028128,1,65.93,1498.368201,71806.34336231,60699.85563769,67723.99,64918.25866667,0.0,72.0,11494.34277300612,9735.25282635642,10306.446657356108,0,0
2024-10-29,72736.42,0.038887,0,72.01,1806.69937,72470.95884548,61245.28015452,68482.62142857,65156.07233333,0.0,72.0,11950.127698386566,9735.25282635642,10715.127963754287,0,0
2024-10-30,72344.74,-0.005399,0,70.11,1996.43508,72687.72937201,62230.34462799,69293.49142857,65456.644,0.0,77.0,11885.777184340042,9735.25282635642,10657.427827827289,0,0
2024-10-31,70292.01,-0.028785,0,61.01,1958.586475,72673.87255222,63019.40244778,69592.59571429,65772.85166667,0.0,77.0,11548.526799590432,9735.25282635642,10646.770399999461,0,0
