,total_return_pct,cagr_pct,sharpe,sortino,max_dd_pct,calmar,profit_factor,win_rate_pct,avg_win_usd,avg_loss_usd,expectancy_usd,n_trades,avg_duration_h,p_value_vs_0,final_capital,weights
01_Original,-0.82,-3.4,-0.2,-0.16,-5.01,-0.68,0.9,44.4,963.14,-852.67,-45.64,9,54.7,0.549,49589.21,tec=0.20 / ict=0.25 / mtf=0.20 / sma=0.10 / sen=0.10 / ml=0.15
02_ICT_x1.4,-3.74,-14.8,-1.49,-0.85,-4.36,-3.39,0.48,33.3,855.22,-895.59,-311.99,6,66.0,0.7503,48128.09,tec=0.18 / ict=0.35 / mtf=0.18 / sma=0.09 / sen=0.09 / ml=0.11
03_ICT_x1.6,2.76,12.09,0.74,0.76,-6.44,1.88,1.3,44.4,1508.45,-931.23,153.07,9,59.6,0.3775,51377.66,tec=0.15 / ict=0.40 / mtf=0.17 / sma=0.10 / sen=0.08 / ml=0.10
04_ICT_x2,-0.84,-3.48,-0.15,-0.14,-9.1,-0.38,0.91,37.5,1377.08,-910.23,-52.48,8,54.5,0.5426,49580.13,tec=0.12 / ict=0.50 / mtf=0.15 / sma=0.08 / sen=0.07 / ml=0.08
05_Tech_Heavy,-2.75,-11.06,-1.57,-3.68,-4.37,-2.53,0.37,33.3,809.03,-1092.99,-458.99,3,25.3,0.7275,48623.04,tec=0.40 / ict=0.20 / mtf=0.15 / sma=0.10 / sen=0.05 / ml=0.10
06_Tech+ICT,-5.09,-19.68,-3.32,-1.33,-5.09,-3.87,0.0,0.0,0.0,-847.51,-847.51,3,54.7,0.9618,47457.47,tec=0.30 / ict=0.30 / mtf=0.15 / sma=0.10 / sen=0.05 / ml=0.10
07_MTF_Heavy,3.33,14.74,0.72,1.34,-10.82,1.36,1.15,44.0,1180.46,-808.57,66.6,25,52.0,0.3843,51665.08,tec=0.15 / ict=0.20 / mtf=0.35 / sma=0.10 / sen=0.10 / ml=0.10
08_MTF+ICT,0.3,1.26,0.17,0.28,-11.96,0.11,1.01,39.1,1228.56,-779.12,6.5,23,48.3,0.4887,50149.43,tec=0.15 / ict=0.30 / mtf=0.30 / sma=0.10 / sen=0.05 / ml=0.10
09_SM_Heavy,-3.08,-12.32,-0.9,-1.02,-4.42,-2.79,0.74,41.7,860.82,-835.08,-128.46,12,60.0,0.6714,48458.49,tec=0.15 / ict=0.20 / mtf=0.15 / sma=0.30 / sen=0.10 / ml=0.10
10_Sentiment_Heavy,-3.84,-15.17,-1.39,-1.19,-4.88,-3.11,0.52,33.3,1045.98,-1003.27,-320.19,6,58.0,0.7371,48078.86,tec=0.15 / ict=0.20 / mtf=0.15 / sma=0.10 / sen=0.30 / ml=0.10
