,composite_score,total_return_pct,sharpe,max_dd_pct,n_trades,win_rate_pct,profit_factor,weights
20_Trend_Following,0.956,5.64,1.11,-11.58,26.0,42.3,1.25,tec=0.20 / ict=0.25 / mtf=0.35 / sma=0.05 / sen=0.05 / ml=0.10
15_Structure_Focus,0.734,4.09,0.88,-8.57,18.0,38.9,1.26,tec=0.15 / ict=0.35 / mtf=0.30 / sma=0.10 / sen=0.05 / ml=0.05
16_Indicators_Focus,0.725,2.98,1.14,-3.28,6.0,50.0,1.64,tec=0.30 / ict=0.15 / mtf=0.15 / sma=0.20 / sen=0.10 / ml=0.10
13_ML_Heavy,0.694,3.89,0.93,-5.59,14.0,42.9,1.33,tec=0.15 / ict=0.15 / mtf=0.15 / sma=0.10 / sen=0.05 / ml=0.40
07_MTF_Heavy,0.676,3.33,0.72,-10.82,25.0,44.0,1.15,tec=0.15 / ict=0.20 / mtf=0.35 / sma=0.10 / sen=0.10 / ml=0.10
03_ICT_x1.6,0.582,2.76,0.74,-6.44,9.0,44.4,1.3,tec=0.15 / ict=0.40 / mtf=0.17 / sma=0.10 / sen=0.08 / ml=0.10
08_MTF+ICT,0.333,0.3,0.17,-11.96,23.0,39.1,1.01,tec=0.15 / ict=0.30 / mtf=0.30 / sma=0.10 / sen=0.05 / ml=0.10
18_SMC_Focus,0.26,0.38,0.18,-7.92,16.0,43.8,1.02,tec=0.10 / ict=0.40 / mtf=0.20 / sma=0.20 / sen=0.05 / ml=0.05
17_Lopez_de_Prado_inspired,0.251,0.56,0.22,-6.19,16.0,43.8,1.04,tec=0.20 / ict=0.20 / mtf=0.25 / sma=0.10 / sen=0.10 / ml=0.15
12_No_ML_ICT_Heavy,0.183,0.35,0.17,-4.36,7.0,42.9,1.05,tec=0.18 / ict=0.40 / mtf=0.20 / sma=0.11 / sen=0.11 / ml=0.00
