split,accuracy,f1,auc_roc,n_train,n_test,test_start,test_end,pred_up,pred_down,model
1,0.45,0.1951,0.418,2293,60,2025-05-11,2025-07-09,7,53,price_only
2,0.5,0.6154,0.5681,2353,60,2025-07-10,2025-09-07,50,10,price_only
3,0.5,0.5455,0.5536,2413,60,2025-09-08,2025-11-06,34,26,price_only
4,0.4667,0.5,0.49,2473,60,2025-11-07,2026-01-05,36,24,price_only
5,0.4167,0.4776,0.5526,2533,60,2026-01-06,2026-03-06,45,15,price_only
1,0.4667,0.2,0.4174,2293,60,2025-05-11,2025-07-09,6,54,price_sentiment
2,0.5,0.5833,0.6038,2353,60,2025-07-10,2025-09-07,44,16,price_sentiment
3,0.5167,0.5538,0.5603,2413,60,2025-09-08,2025-11-06,33,27,price_sentiment
4,0.5167,0.5915,0.5402,2473,60,2025-11-07,2026-01-05,43,17,price_sentiment
5,0.5167,0.5246,0.5365,2533,60,2026-01-06,2026-03-06,39,21,price_sentiment
