split,accuracy,f1,auc_roc,n_train,n_test,test_start,test_end,model
1,0.4667,0.2,0.4259,2293,60,2025-05-11,2025-07-09,price_only
2,0.55,0.6197,0.5033,2353,60,2025-07-10,2025-09-07,price_only
3,0.5,0.6154,0.577,2413,60,2025-09-08,2025-11-06,price_only
4,0.4833,0.5373,0.4855,2473,60,2025-11-07,2026-01-05,price_only
5,0.4167,0.507,0.5203,2533,60,2026-01-06,2026-03-06,price_only
1,0.4667,0.2,0.4333,2293,60,2025-05-11,2025-07-09,price_sentiment
2,0.5167,0.5915,0.5513,2353,60,2025-07-10,2025-09-07,price_sentiment
3,0.5,0.5714,0.5614,2413,60,2025-09-08,2025-11-06,price_sentiment
4,0.45,0.56,0.5201,2473,60,2025-11-07,2026-01-05,price_sentiment
5,0.4833,0.4561,0.5718,2533,60,2026-01-06,2026-03-06,price_sentiment
